Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-301.44016	0.0	-301.44016	-301.44016	1000.0	-0.009208786	0.018751992	0.07934832	-0.057633877	1000	0.004415877	898.05664	-0.032098852	-465.3374	2.7904449	0.046247195	21.679572582244873
1	-369.12955	0.0	-369.12955	-369.12955	1000.0	-10.760293	0.282259	-6.901964	-11.372942	2000	-0.049032867	925.27386	-0.03911031	-360.99475	2.7966542	0.041091233	45.77939772605896
2	-243.9493	0.0	-243.9493	-243.9493	1000.0	-19.198078	1.2589206	-12.83365	-22.156656	3000	0.01170067	66.32644	-0.020080969	-24.512806	2.777242	0.020312266	66.39172029495239
3	-423.7382	0.0	-423.7382	-423.7382	1000.0	-21.362385	1.0940255	-14.837989	-24.611729	4000	0.044486176	544.6302	-0.011964727	-321.08258	2.7652087	0.013432576	85.85229873657227
4	-401.3651	0.0	-401.3651	-401.3651	1000.0	-33.101517	0.7474775	-21.886444	-34.836906	5000	0.0005216827	215.41078	-0.018630236	-29.885727	2.781102	0.022235764	104.59476685523987
5	-299.73517	0.0	-299.73517	-299.73517	1000.0	-36.73242	0.95033556	-23.741095	-38.61464	6000	-0.013282703	65.02919	-0.022796566	-26.550442	2.8001437	0.007025624	123.44034719467163
6	-107.555016	0.0	-107.555016	-107.555016	1000.0	-32.337513	0.8953884	-21.418535	-34.446083	7000	0.058952685	548.1265	-0.009349354	-361.41458	2.6962094	0.003807385	145.00834965705872
7	-141.93095	0.0	-141.93095	-141.93095	1000.0	-19.769245	1.0010852	-13.667782	-22.649675	8000	-0.058641907	123.255684	-0.009437118	-29.769081	2.714853	0.024102177	163.9216389656067
8	-107.690865	0.0	-107.690865	-107.690865	1000.0	-15.544113	1.019155	-12.2716255	-18.7253	9000	0.009746093	74.50001	-0.008787874	-13.616913	2.7924683	0.012432072	182.28345656394958
9	-157.28595	0.0	-157.28595	-157.28595	1000.0	-12.950678	1.0415215	-10.478178	-16.608019	10000	0.015596172	16.056776	-0.015148708	-5.281352	2.7874618	0.015601188	200.78468441963196
10	-18.850376	0.0	-18.850376	-18.850376	1000.0	-14.274559	1.1218535	-11.02293	-17.618874	11000	0.052896407	205.5062	-0.016288389	-129.15652	2.7627375	0.018506458	219.96755361557007
11	-48.900948	0.0	-48.900948	-48.900948	1000.0	-4.908427	1.3993015	-1.8777878	-11.499103	12000	-0.016655102	29.345486	-0.012617428	-1.0033321	2.7418106	0.02191392	238.27680015563965
12	-22.149368	0.0	-22.149368	-22.149368	1000.0	-3.835917	1.2541203	-1.1911055	-8.2528925	13000	-0.04384469	33.966534	-0.011402752	-1.92173	2.7673466	0.037611492	256.5928957462311
13	-67.89663	0.0	-67.89663	-67.89663	1000.0	-3.1535392	1.1853328	-0.34604436	-9.301795	14000	-0.078584135	55.01108	-0.018042408	-19.487324	2.713875	0.028846217	275.02389669418335
14	82.49331	0.0	82.49331	82.49331	1000.0	-5.449024	0.8727743	-3.4615583	-10.954513	15000	0.05951342	199.37866	-0.0070373975	-156.33492	2.713205	0.019210344	293.2912995815277
15	18.843157	0.0	18.843157	18.843157	1000.0	5.283911	1.249446	7.69784	-2.3881288	16000	0.004491373	27.483107	-0.011064323	-9.34795	2.7961407	0.019690273	314.1692531108856
16	-24.1936	0.0	-24.1936	-24.1936	1000.0	2.1980913	1.4596196	5.296801	-8.110494	17000	-0.035124477	61.975883	0.007032549	-18.636047	2.7517028	0.013858905	335.19128036499023
17	32.23708	0.0	32.23708	32.23708	1000.0	-0.7249522	1.0256852	1.1263112	-6.6635375	18000	-0.048106994	67.94169	-0.00034981593	-19.406734	2.7685444	0.012462942	355.6652343273163
18	-46.705658	0.0	-46.705658	-46.705658	1000.0	2.0989544	1.5168148	5.1190505	-5.7662945	19000	-0.03551323	115.21256	-0.0023923628	-48.155388	2.7464514	0.0055903587	374.0620424747467
19	19.014137	0.0	19.014137	19.014137	1000.0	-3.413473	1.7123964	-0.3724718	-9.046902	20000	-0.0009915266	93.36915	-0.0017650222	-45.308407	2.7964184	0.006565452	392.4844527244568
20	-36.197308	0.0	-36.197308	-36.197308	1000.0	2.0658484	2.3415885	5.737722	-6.391957	21000	0.00496645	82.87925	-0.002507641	-15.206993	2.701203	0.0015917363	411.7494549751282
21	-70.18219	0.0	-70.18219	-70.18219	1000.0	-1.5988301	2.9597833	2.6932871	-8.755104	22000	0.0027941323	204.04738	-0.0038918173	-35.244415	2.6795328	0.006345096	432.33923268318176
22	-1.806759	0.0	-1.806759	-1.806759	1000.0	-5.5859265	3.4915068	-0.58151174	-15.742223	23000	-0.0017143111	132.77733	-0.0030561415	-19.814407	2.7125533	0.0017809448	453.9581277370453
23	-189.56291	0.0	-189.56291	-189.56291	1000.0	-6.0886135	3.9996529	2.9213476	-14.942118	24000	0.025701009	281.00983	-0.0020307824	-133.0556	2.6613755	-3.337884e-05	473.44589924812317
24	-11.322538	0.0	-11.322538	-11.322538	1000.0	-10.087726	4.6978426	-4.010351	-23.022648	25000	0.03406458	149.27472	-0.007685581	-98.71155	2.6826913	-0.0006372348	492.33900260925293
25	-101.892235	0.0	-101.892235	-101.892235	1000.0	-4.7323394	6.3899183	5.8861113	-18.483349	26000	-0.025715223	222.37544	-0.003356181	-75.54498	2.7358105	0.0053676683	511.3889162540436
26	-127.043365	0.0	-127.043365	-127.043365	1000.0	-14.342818	6.1118813	-3.5241065	-28.57688	27000	0.0016752263	52.472004	-0.0076213847	-2.8234901	2.7043927	0.0031930213	531.336909532547
27	49.33487	0.0	49.33487	49.33487	1000.0	-6.951253	5.2522893	0.76019704	-22.473825	28000	0.040566657	284.51303	-0.0054665655	-162.02739	2.7091398	0.0050308984	550.2776234149933
28	-62.003597	0.0	-62.003597	-62.003597	1000.0	1.1097847	4.4865675	10.722416	-9.690721	29000	0.048897117	86.15631	-0.004329119	-44.062565	2.7286355	0.005650417	568.950189113617
29	-14.178958	0.0	-14.178958	-14.178958	1000.0	-1.5577161	4.1520114	7.471751	-16.804161	30000	-0.072693706	74.23958	-0.013790272	-5.2487335	2.6936455	0.017675739	587.695339679718
30	94.8733	0.0	94.8733	94.8733	1000.0	4.017793	1.9935409	7.9678173	-4.8889027	31000	-0.03599578	57.47804	-0.00436873	-30.310287	2.6977046	0.00817753	607.1006321907043
31	86.03486	0.0	86.03486	86.03486	1000.0	5.352721	5.570983	13.209212	-11.027708	32000	0.02151567	106.34811	0.004157951	-10.251846	2.7338865	0.0023626217	625.788920879364
32	80.54444	0.0	80.54444	80.54444	1000.0	10.605221	2.6894715	15.664794	1.525175	33000	-0.028733967	26.86996	-0.002169717	-7.9458904	2.643739	0.0045455187	644.5227384567261
33	49.207333	0.0	49.207333	49.207333	1000.0	5.466074	5.1045055	12.513764	-7.0632186	34000	0.01239619	19.773249	-0.0007682685	-1.1815338	2.6669679	0.004140786	663.163471698761
34	97.12509	0.0	97.12509	97.12509	1000.0	9.907336	1.9846334	13.479366	-0.9524102	35000	-0.042258803	45.07746	-0.0003942512	-1.3244057	2.706103	0.002955071	681.8555309772491
35	21.213623	0.0	21.213623	21.213623	1000.0	4.132615	4.611577	13.749054	-8.359028	36000	-0.0054853233	27.915562	-0.006155162	-10.745338	2.7536983	0.005467335	700.5258891582489
