Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-201.76491	45.48076	-130.58846	-249.17027	500.0	0.03603714	0.13275687	0.5048269	-0.49415264	2000	-6.4253804e-08	1365.8782	-0.09076834	-163.0564	0.9189396	-0.0027686297	0.379	79.0	41.167792081832886
1	-162.95618	33.168964	-109.686615	-200.28047	500.0	-2.528695	0.46537006	-1.1353456	-4.143148	4000	-1.4185906e-08	783.3608	-0.103027076	-96.4848	0.91220725	0.008287179	0.408	79.0	80.06348514556885
2	-135.9722	32.486767	-91.05336	-181.36946	500.0	-4.6151347	0.8324832	-1.9498236	-7.793009	6000	-4.1991473e-08	480.2962	-0.104040325	-55.868805	0.8913755	0.008233877	0.4185	79.0	119.83422803878784
3	-87.67241	11.830546	-78.660164	-108.00123	500.0	-6.251492	1.151624	-2.6227653	-9.9674	8000	2.7179718e-08	246.23737	-0.07804693	-13.3063965	0.87819093	0.0151028	0.256	42.0	162.42915987968445
4	-142.96486	49.4294	-76.708626	-203.89497	500.0	-7.0806518	1.3120768	-3.1592066	-11.918732	10000	7.450581e-09	492.70035	-0.09671186	-59.45575	0.8774262	0.0010931358	0.4145	79.0	202.91535902023315
5	-120.31123	20.052788	-100.764404	-151.88951	500.0	-8.914774	1.5687054	-3.03054	-14.323751	12000	4.4047834e-08	278.12308	-0.1043124	-38.79457	0.86235154	-0.0021962484	0.447	79.0	242.1360821723938
6	-97.45044	36.511086	-38.877476	-131.8782	500.0	-10.475243	1.9370277	-4.1651263	-17.059504	14000	5.066395e-10	129.63962	-0.10295661	-8.048134	0.84830934	0.015091911	0.414	72.0	279.91928219795227
7	-95.83489	32.856922	-62.63991	-145.43948	500.0	-11.089416	2.0423713	-4.7796335	-20.48959	16000	-1.6063451e-08	173.99869	-0.10392726	-9.140549	0.8232694	0.011867209	0.442	79.0	321.0682301521301
8	-85.872	18.08196	-63.867355	-108.98133	500.0	-11.839576	2.1667066	-4.579273	-19.153706	18000	6.7055224e-09	130.12694	-0.08289883	-1.4916534	0.81173146	0.015549749	0.2935	34.0	361.85827803611755
9	-70.659966	32.71255	-22.439037	-102.18665	500.0	-12.162182	2.1928687	-4.8867173	-20.019035	20000	-1.0043383e-08	94.71623	-0.09301166	-1.8471832	0.80318284	0.015404788	0.361	53.0	399.8370952606201
10	-75.16701	37.522808	-14.013525	-108.37609	500.0	-12.050254	2.1914256	-4.5060344	-21.623987	22000	-1.4990569e-08	134.24232	-0.085863836	-2.181717	0.78686905	0.015290214	0.3225	41.0	439.5425660610199
11	-50.16559	22.672615	-19.97517	-77.2836	500.0	-12.039308	2.237308	-4.932552	-21.346136	24000	2.5302171e-08	102.78851	-0.08245832	-9.893257	0.7738795	0.015299331	0.3155	41.0	476.28486800193787
12	-51.824806	31.547787	-11.052855	-83.57207	500.0	-11.085332	2.0305269	-4.0287547	-18.121351	26000	6.7949295e-09	89.17564	-0.086385	-2.6713104	0.75432277	0.015588802	0.332	45.0	514.3487401008606
13	-47.34294	37.503666	-20.603607	-111.91636	500.0	-10.612603	2.0137024	-3.2240374	-18.28438	28000	1.6838312e-09	99.29188	-0.08539332	-3.4825516	0.74360853	0.015213378	0.3195	39.0	553.9094021320343
